PELI3,9381,11.661594
IGFBP2,1350,11.654778
MAP9,7443,11.639377
RCAN2,4051,11.635098
APOL2,5009,11.627545
MGARP,7984,11.614924
GPR161,4889,11.590556
PDP1,5989,11.587199
SYT12,8258,11.569699
IER2,3716,11.566887
RIMKLA,9538,11.544784
ZCCHC8,6337,11.544347
MYH7B,6829,11.544055
MPC1,5811,11.528971
FBXO33,9398,11.520569
COX7A1,572,11.505203
CARD9,7031,11.49559
RWDD1,5728,11.49108
LEPROTL1,4910,11.486388
FLJ23867,9226,11.484112
NEB,1781,11.443174
EPN3,6124,11.427518
ANKS6,9275,11.414535
SERPINB9,2032,11.412557
RORB,2411,11.400457
UIMC1,5832,11.390381
FAM131B,3780,11.387401
MCF2,1626,11.377511
PRRT3,9557,11.37328
RSPO2,9642,11.36842
DEXI,5371,11.357673
DENND6A,9257,11.353715
RFX5,2382,11.342025
FOXN3,485,11.340445
ABCA6,4897,11.33676
OVGP1,1911,11.336012
EMX1,826,11.329175
CAPN15,2652,11.315508
SKIDA1,9755,11.313467
SPAG4,2670,11.306639
ECM1,771,11.296547
NAALAD2,3925,11.287727
SH3BGRL,2553,11.283166
ZFYVE19,8052,11.277385
ICA1,1321,11.259866
ATP1B1,209,11.258769
SLC6A6,2590,11.254032
ZFYVE28,6869,11.251358
ZSCAN9,3062,11.242207
FAM216A,5456,11.242104
SEMA6D,7500,11.239301
SETD7,7622,11.238066
METAP2,4413,11.238057
DPP8,6044,11.229361
MIAT,9885,11.217542
QRFPR,7818,11.202285
BRINP1,666,11.193742
FAM217B,6990,11.189679
PLCB4,2061,11.170994
NUB1,5815,11.167289
SPNS2,8641,11.164359
ALDH1A3,102,11.149765
NCOR2,3724,11.147291
RASD2,4942,11.141319
FRAT2,4868,11.132821
POU6F1,2113,11.10127
C9orf3,8037,11.098542
NDRG3,6722,11.093535
NECAB3,6992,11.091826
AMMECR1,3904,11.091124
HSPA4L,4579,11.066212
CTTNBP2,7793,11.046011
KLF12,4540,11.043404
TWNK,6554,11.037161
CDADC1,7661,11.02692
INTS8,6360,10.984731
CDH7,439,10.982231
KIAA1551,6201,10.96956
GAS2,1023,10.969503
SLC38A11,8999,10.958546
CCDC39,9630,10.95582
CORO7,7305,10.929788
CAMTA1,4794,10.926165
CCDC177,6597,10.925876
TCTEX1D1,9227,10.92453
ZNF165,3053,10.92435
DNAJC4,1308,10.91124
NR1D2,3912,10.907999
SLC8A1,2599,10.896338
PHKA2,2025,10.889251
ELOVL4,2709,10.874896
ADAMTS13,4450,10.872332
ATP2B2,214,10.871537
NREP,3573,10.869048
